Ticker,Forecast_Horizon_Days,Predicted_Close_Price,Confidence_%
BALAMINES,30,3468.04,67.41
BALAMINES,180,3481.71,60.33
BALAMINES,365,3725.64,66.79
BALKRISIND,30,1748.66,0.0
BALKRISIND,180,1730.03,29.43
BALKRISIND,365,1771.33,0.0
BALRAMCHIN,30,476.75,57.08
BALRAMCHIN,180,510.72,59.36
BALRAMCHIN,365,534.45,67.14
BANKBARODA,30,242.87,55.03
BANKBARODA,180,242.9,49.68
BANKBARODA,365,272.08,57.9
BANKINDIA,30,88.25,42.5
BANKINDIA,180,89.12,46.64
BANKINDIA,365,89.23,43.59
BASF,30,4411.32,59.59
BASF,180,4312.29,55.19
BASF,365,4372.64,54.52
BATAINDIA,30,1661.53,56.31
BATAINDIA,180,1662.9,46.18
BATAINDIA,365,1665.9,51.52
BBTC,30,1655.73,65.88
BBTC,180,1572.59,47.54
BBTC,365,1596.46,44.53
BEL,30,203.5,70.98
BEL,180,212.09,65.05
BEL,365,222.03,60.73
BEML,30,2304.24,44.86
BEML,180,2310.99,48.22
BEML,365,2309.2,42.06
BERGEPAINT,30,655.82,52.75
BERGEPAINT,180,675.66,49.46
BERGEPAINT,365,677.69,45.82
BHARATFORG,30,606.03,52.14
BHARATFORG,180,613.05,41.57
BHARATFORG,365,589.31,49.73
BHARTIARTL,30,663.57,0.0
BHARTIARTL,180,645.91,23.34
BHARTIARTL,365,658.13,9.23
BHEL,30,189.67,68.91
BHEL,180,173.73,51.94
BHEL,365,176.69,52.56
BIKAJI,30,494.66,32.82
BIKAJI,180,510.74,14.69
BIKAJI,365,513.46,7.03
BIOCON,30,353.01,0.0
BIOCON,180,355.01,0.0
BIOCON,365,349.69,0.0
BIRLACORPN,30,1040.06,80.28
BIRLACORPN,180,1025.29,80.67
BIRLACORPN,365,1015.84,76.21
BLS,30,215.69,77.36
BLS,180,211.09,60.3
BLS,365,208.3,50.77
BLUEDART,30,8408.74,59.56
BLUEDART,180,8928.35,58.5
BLUEDART,365,9372.45,55.7
BLUESTARCO,30,1177.95,53.4
BLUESTARCO,180,1199.77,53.98
BLUESTARCO,365,1201.6,59.16
BOSCHLTD,30,23462.2,68.29
BOSCHLTD,180,23302.96,68.8
BOSCHLTD,365,23021.1,67.06
BPCL,30,372.32,31.74
BPCL,180,371.23,29.28
BPCL,365,369.78,29.05
BRIGADE,30,689.56,69.34
BRIGADE,180,653.25,61.42
BRIGADE,365,644.06,72.1
BRITANNIA,30,4848.58,53.37
BRITANNIA,180,4966.56,57.92
BRITANNIA,365,5080.12,52.17
BSE,30,1864.47,74.05
BSE,180,1789.43,72.19
BSE,365,1793.77,70.75
BSOFT,30,572.61,60.39
BSOFT,180,600.38,57.63
BSOFT,365,657.11,63.87
CAMPUS,30,279.85,55.5
CAMPUS,180,289.18,27.71
CAMPUS,365,279.88,56.26
CAMS,30,3077.41,75.02
CAMS,180,3038.93,55.54
CAMS,365,2994.79,27.43
CANBK,30,208.95,4.6
CANBK,180,209.33,0.0
CANBK,365,203.94,15.24
CAPLIPOINT,30,933.49,68.03
CAPLIPOINT,180,915.36,63.55
CAPLIPOINT,365,903.84,61.47
CARBORUNIV,30,958.97,74.58
CARBORUNIV,180,1012.67,66.75
CARBORUNIV,365,1087.33,62.9
CCL,30,467.27,66.85
CCL,180,461.1,54.55
CCL,365,465.87,55.21
CDSL,30,1167.11,52.16
CDSL,180,1147.36,39.84
CDSL,365,1127.7,27.8
CEATLTD,30,1774.93,74.32
CEATLTD,180,1749.71,67.79
CEATLTD,365,1714.22,56.01
CELLO,30,837.23,0.0
CELLO,180,844.7,0.0
CELLO,365,855.4,0.0
CENTRALBK,30,58.63,67.52
CENTRALBK,180,58.54,62.21
CENTRALBK,365,65.66,70.73
CENTURYPLY,30,505.94,45.29
CENTURYPLY,180,511.36,43.85
CENTURYPLY,365,514.42,37.47
CERA,30,5780.48,68.51
CERA,180,5692.39,69.56
CERA,365,5585.14,75.84
CGCL,30,333.14,26.13
CGCL,180,340.64,2.84
CGCL,365,338.0,19.23
CGPOWER,30,442.45,76.76
CGPOWER,180,424.18,74.08
CGPOWER,365,405.0,60.94
CHALET,30,530.22,65.68
CHALET,180,521.46,47.5
CHALET,365,521.36,52.78
CHAMBLFERT,30,357.92,72.64
CHAMBLFERT,180,341.1,60.5
CHAMBLFERT,365,342.24,75.05
CHEMPLASTS,30,596.88,60.56
CHEMPLASTS,180,610.34,57.58
CHEMPLASTS,365,632.14,57.17
CHENNPETRO,30,282.97,67.5
CHENNPETRO,180,286.51,77.5
