Ticker,RMSE,MAE,R2
360ONE,379.5632,336.2767,-3.6469
3MINDIA,3482.2709,2541.4262,-0.363
AARTIIND,136.5512,115.4687,-0.7271
AAVAS,197.4506,167.7311,-1.128
ABB,2801.8234,2368.7107,-2.4733
ABBOTINDIA,5047.8531,4534.3571,-4.1631
ABCAPITAL,27.911,21.6631,-0.2997
ABFRL,74.7205,61.4728,-2.0045
ABREL,1053.9927,890.5508,-2.49
ABSLAMC,113.768,95.2805,-2.2231
