Ticker,GrangerFeatures
JIOFIN,"50DayMA_scaled, CBOE_scaled, 100DayMA_scaled"
JKCEMENT,"EBITDA_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled, 50DayMA_scaled, 100DayMA_scaled"
JKLAKSHMI,"EBITDA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled"
JKTYRE,"Volume_scaled, CBOE_scaled, BookValue_scaled"
JMFINANCIL,"CrudeOil_scaled, Volume_scaled"
JPPOWER,"Volume_scaled, inflation-Monthly_scaled, Sales_scaled, EBITDA_scaled, PriceToBookValue_scaled"
JSL,"Volume_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, 100DayMA_scaled, CrudeOil_scaled"
JSWENERGY,"Volume_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, BookValue_scaled, CrudeOil_scaled, 100DayMA_scaled, EBITDA_scaled"
JSWINFRA,50DayMA_scaled
JSWSTEEL,"CrudeOil_scaled, Sales_scaled, EBITDA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, Volume_scaled"
JUBLFOOD,"IndianBondYieldRate_scaled, CrudeOil_scaled"
JUBLINGREA,PriceToBookValue_scaled
JUBLPHARMA,"EBITDA_scaled, inflation-Monthly_scaled"
JUSTDIAL,"EBITDA_scaled, Dollar-INR_scaled, Sales_scaled, GDP_scaled, PriceToBookValue_scaled"
JWL,"Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled, Volume_scaled, PriceToBookValue_scaled, CrudeOil_scaled"
JYOTHYLAB,"EBITDA_scaled, Market-Cap-Sales_scaled, Sales_scaled, PriceToBookValue_scaled"
JYOTICNC,"PriceToBookValue_scaled, Market-Cap-Sales_scaled"
KAJARIACER,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, Dollar-INR_scaled"
KALYANKJIL,"Sales_scaled, BookValue_scaled, Volume_scaled, 50DayMA_scaled, inflation-Monthly_scaled"
KANSAINER,"NPM_scaled, OPM_scaled, Sales_scaled, Dollar-INR_scaled, GPM_scaled, inflation-Monthly_scaled"
KAYNES,"Market-Cap-Sales_scaled, PriceToBookValue_scaled, 50DayMA_scaled, Volume_scaled, Sales_scaled, EBITDA_scaled"
KEC,"Volume_scaled, BookValue_scaled"
KEI,"BookValue_scaled, 100DayMA_scaled, PriceToBookValue_scaled, 50DayMA_scaled"
KFINTECH,"BookValue_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled"
KIMS,"50DayMA_scaled, 100DayMA_scaled, Volume_scaled"
KIRLOSBROS,"100DayMA_scaled, 50DayMA_scaled, PriceToBookValue_scaled, BookValue_scaled, EBITDA_scaled, Market-Cap-Sales_scaled, inflation-Monthly_scaled, NPM_scaled"
KIRLOSENG,"100DayMA_scaled, 50DayMA_scaled, BookValue_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled, EBITDA_scaled, NPM_scaled, CBOE_scaled"
KNRCON,"Volume_scaled, Sales_scaled, EBITDA_scaled"
KOTAKBANK,"PriceToBookValue_scaled, Dollar-INR_scaled"
KPIL,"100DayMA_scaled, Sales_scaled, 50DayMA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled"
KPITTECH,"100DayMA_scaled, 50DayMA_scaled, BookValue_scaled, EBITDA_scaled"
KPRMILL,"100DayMA_scaled, 50DayMA_scaled"
KSB,100DayMA_scaled
LALPATHLAB,"EBITDA_scaled, Market-Cap-Sales_scaled, Sales_scaled, OPM_scaled, NPM_scaled, 50DayMA_scaled, PriceToBookValue_scaled, 100DayMA_scaled"
LATENTVIEW,"EBITDA_scaled, Sales_scaled, 50DayMA_scaled, CBOE_scaled, CrudeOil_scaled, inflation-Monthly_scaled"
LAURUSLABS,"Market-Cap-Sales_scaled, PriceToBookValue_scaled, 50DayMA_scaled, 100DayMA_scaled"
LEMONTREE,"UnemploymentRate_scaled, Market-Cap-Sales_scaled, Sales_scaled, CrudeOil_scaled"
LICHSGFIN,"UnemploymentRate_scaled, inflation-yearly_scaled, 100DayMA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, GDP_scaled, CBOE_scaled, EBITDA_scaled"
LICI,"Volume_scaled, BookValue_scaled, PriceToBookValue_scaled, 100DayMA_scaled, Sales_scaled"
LINDEINDIA,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled"
LLOYDSME,"100DayMA_scaled, 50DayMA_scaled, PriceToBookValue_scaled, GPM_scaled, OPM_scaled, NPM_scaled, BookValue_scaled, Market-Cap-Sales_scaled"
LODHA,Market-Cap-Sales_scaled
LT,"Market-Cap-Sales_scaled, PriceToBookValue_scaled, CrudeOil_scaled, Sales_scaled"
LTF,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, Sales_scaled, UnemploymentRate_scaled"
LTIM,"CrudeOil_scaled, GDP_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled"
LTTS,"Market-Cap-Sales_scaled, 100DayMA_scaled, PriceToBookValue_scaled, 50DayMA_scaled, CrudeOil_scaled, BookValue_scaled, Volume_scaled"
LUPIN,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, UnemploymentRate_scaled, EBITDA_scaled"
M&M,"PriceToBookValue_scaled, 50DayMA_scaled, 100DayMA_scaled, Market-Cap-Sales_scaled, EBITDA_scaled"
M&MFIN,"Volume_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, PriceToBookValue_scaled, Sales_scaled"
MAHABANK,"Volume_scaled, Sales_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled, 100DayMA_scaled"
MAHLIFE,"100DayMA_scaled, 50DayMA_scaled, Dollar-INR_scaled"
MAHSEAMLES,"100DayMA_scaled, PriceToBookValue_scaled, CrudeOil_scaled"
MANAPPURAM,"CrudeOil_scaled, OPM_scaled, NPM_scaled, Volume_scaled"
MANKIND,"inflation-yearly_scaled, GDP_scaled, UnemploymentRate_scaled, 50DayMA_scaled, inflation-Monthly_scaled"
MANYAVAR,"EBITDA_scaled, Sales_scaled, 50DayMA_scaled, Dollar-INR_scaled, 100DayMA_scaled, PriceToBookValue_scaled"
MARICO,"Sales_scaled, inflation-yearly_scaled, EBITDA_scaled, UnemploymentRate_scaled, CrudeOil_scaled, GDP_scaled, Volume_scaled, inflation-Monthly_scaled"
MARUTI,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, inflation-Monthly_scaled, GPM_scaled"
MASTEK,"Market-Cap-Sales_scaled, Sales_scaled, EBITDA_scaled, CrudeOil_scaled, PriceToBookValue_scaled"
MAXHEALTH,"50DayMA_scaled, 100DayMA_scaled, PriceToBookValue_scaled"
MAZDOCK,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, OPM_scaled, 100DayMA_scaled, Volume_scaled"
MCX,"EBITDA_scaled, Sales_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled, 50DayMA_scaled"
MEDANTA,"inflation-Monthly_scaled, 100DayMA_scaled"
METROBRAND,"EBITDA_scaled, Sales_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, CBOE_scaled"
METROPOLIS,"Market-Cap-Sales_scaled, 50DayMA_scaled, PriceToBookValue_scaled"
MFSL,"EBITDA_scaled, Sales_scaled, PriceToBookValue_scaled, Dollar-INR_scaled"
MGL,"Market-Cap-Sales_scaled, PriceToBookValue_scaled, 50DayMA_scaled, Sales_scaled, 100DayMA_scaled"
MINDACORP,"Market-Cap-Sales_scaled, PriceToBookValue_scaled, 50DayMA_scaled, Volume_scaled, 100DayMA_scaled"
MMTC,"Volume_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled, 100DayMA_scaled"
MOTHERSON,"50DayMA_scaled, 100DayMA_scaled, inflation-Monthly_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled"
MOTILALOFS,"100DayMA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled"
MPHASIS,"CrudeOil_scaled, 100DayMA_scaled"
MRF,"EBITDA_scaled, 50DayMA_scaled, Sales_scaled"
MRPL,"PriceToBookValue_scaled, Volume_scaled, 50DayMA_scaled, 100DayMA_scaled, Market-Cap-Sales_scaled, CrudeOil_scaled, EBITDA_scaled"
MSUMI,"Dollar-INR_scaled, 100DayMA_scaled"
MUTHOOTFIN,"EBITDA_scaled, Sales_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, CrudeOil_scaled"
NAM-INDIA,"CBOE_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled, CrudeOil_scaled, 100DayMA_scaled"
NATCOPHARM,"OPM_scaled, 100DayMA_scaled, CrudeOil_scaled, Sales_scaled, Market-Cap-Sales_scaled, BookValue_scaled, NPM_scaled"
NATIONALUM,"CrudeOil_scaled, EBITDA_scaled, Sales_scaled, NPM_scaled, OPM_scaled, Volume_scaled, 100DayMA_scaled, PriceToBookValue_scaled"
NAUKRI,"GDP_scaled, EBITDA_scaled, Market-Cap-Sales_scaled, Sales_scaled, Volume_scaled, UnemploymentRate_scaled"
NAVINFLUOR,"CrudeOil_scaled, inflation-Monthly_scaled, IndianBondYieldRate_scaled, 50DayMA_scaled, EBITDA_scaled, Volume_scaled, UnemploymentRate_scaled, Sales_scaled, 100DayMA_scaled"
NBCC,"Volume_scaled, PriceToBookValue_scaled, 100DayMA_scaled, inflation-Monthly_scaled"
NCC,"100DayMA_scaled, 50DayMA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled"
NESTLEIND,"UnemploymentRate_scaled, GPM_scaled, inflation-yearly_scaled, 50DayMA_scaled, 100DayMA_scaled"
NETWEB,"50DayMA_scaled, Volume_scaled, Dollar-INR_scaled, 100DayMA_scaled, CrudeOil_scaled"
NETWORK18,"PriceToBookValue_scaled, CBOE_scaled"
NEWGEN,"Market-Cap-Sales_scaled, 100DayMA_scaled, PriceToBookValue_scaled, Volume_scaled, 50DayMA_scaled"
NH,"EBITDA_scaled, Sales_scaled, Market-Cap-Sales_scaled"
NHPC,"Volume_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, 100DayMA_scaled"
NIACL,Market-Cap-Sales_scaled
NLCINDIA,"EBITDA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, Sales_scaled, 100DayMA_scaled, Volume_scaled, NPM_scaled, 50DayMA_scaled"
NMDC,"Market-Cap-Sales_scaled, CrudeOil_scaled, 100DayMA_scaled, PriceToBookValue_scaled"
NSLNISP,100DayMA_scaled
NTPC,"100DayMA_scaled, 50DayMA_scaled, PriceToBookValue_scaled, CrudeOil_scaled"
NUVAMA,"EBITDA_scaled, Sales_scaled"
NUVOCO,"IndianBondYieldRate_scaled, EBITDA_scaled"
NYKAA,"Dollar-INR_scaled, CrudeOil_scaled, PriceToBookValue_scaled, IndianBondYieldRate_scaled, BookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled"
OBEROIRLTY,"EBITDA_scaled, Volume_scaled, Sales_scaled, 50DayMA_scaled, CBOE_scaled"
OFSS,"EBITDA_scaled, Sales_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, NPM_scaled"
OIL,"CrudeOil_scaled, 100DayMA_scaled, 50DayMA_scaled, inflation-Monthly_scaled"
OLECTRA,"Volume_scaled, Sales_scaled, CBOE_scaled"
ONGC,"CrudeOil_scaled, 100DayMA_scaled, 50DayMA_scaled, IndianBondYieldRate_scaled"
PAGEIND,"100DayMA_scaled, 50DayMA_scaled"
PATANJALI,"GDP_scaled, CrudeOil_scaled"
PAYTM,"50DayMA_scaled, 100DayMA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, BookValue_scaled, CBOE_scaled, CrudeOil_scaled, Volume_scaled"
PEL,"Market-Cap-Sales_scaled, PriceToBookValue_scaled"
PERSISTENT,"EBITDA_scaled, Sales_scaled, PriceToBookValue_scaled"
PETRONET,"Volume_scaled, OPM_scaled, GPM_scaled, EBITDA_scaled"
PFC,"100DayMA_scaled, 50DayMA_scaled, BookValue_scaled, PriceToBookValue_scaled"
PFIZER,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, IndianBondYieldRate_scaled"
PGHH,"Volume_scaled, CBOE_scaled"
PHOENIXLTD,"Volume_scaled, 100DayMA_scaled"
PIDILITIND,CrudeOil_scaled
PIIND,"Sales_scaled, EBITDA_scaled, PriceToBookValue_scaled, Volume_scaled"
PNB,"100DayMA_scaled, 50DayMA_scaled, OPM_scaled, NPM_scaled, CBOE_scaled, BookValue_scaled"
PNBHOUSING,"Market-Cap-Sales_scaled, PriceToBookValue_scaled, 50DayMA_scaled"
PNCINFRA,"50DayMA_scaled, 100DayMA_scaled"
POLICYBZR,"PriceToBookValue_scaled, Sales_scaled, Dollar-INR_scaled, Market-Cap-Sales_scaled, inflation-Monthly_scaled, 100DayMA_scaled"
POLYCAB,"50DayMA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, Sales_scaled, CBOE_scaled, 100DayMA_scaled, BookValue_scaled"
POLYMED,"EBITDA_scaled, Sales_scaled, BookValue_scaled"
POONAWALLA,"Volume_scaled, EBITDA_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled, BookValue_scaled"
POWERGRID,"100DayMA_scaled, PriceToBookValue_scaled, 50DayMA_scaled"
POWERINDIA,"50DayMA_scaled, 100DayMA_scaled"
PPLPHARMA,"Sales_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, 100DayMA_scaled"
PRAJIND,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled, CrudeOil_scaled"
PRESTIGE,"NPM_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled, BookValue_scaled, Volume_scaled, CBOE_scaled, Sales_scaled"
PTCIL,"Volume_scaled, Dollar-INR_scaled, CBOE_scaled"
PVRINOX,"50DayMA_scaled, 100DayMA_scaled, PriceToBookValue_scaled, EBITDA_scaled, Volume_scaled"
QUESS,"Market-Cap-Sales_scaled, EBITDA_scaled, 100DayMA_scaled, Sales_scaled, GPM_scaled"
RADICO,"PriceToBookValue_scaled, 100DayMA_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled"
RAILTEL,"100DayMA_scaled, 50DayMA_scaled"
RAINBOW,PriceToBookValue_scaled
RAJESHEXPO,"GPM_scaled, OPM_scaled, NPM_scaled, Sales_scaled"
RAMCOCEM,"CBOE_scaled, 50DayMA_scaled, GPM_scaled, OPM_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled"
RATNAMANI,"CrudeOil_scaled, Market-Cap-Sales_scaled, EBITDA_scaled, PriceToBookValue_scaled"
RAYMOND,"Volume_scaled, 100DayMA_scaled, 50DayMA_scaled, PriceToBookValue_scaled"
RBLBANK,"Sales_scaled, Market-Cap-Sales_scaled, UnemploymentRate_scaled, 100DayMA_scaled, inflation-yearly_scaled, 50DayMA_scaled, GDP_scaled, Volume_scaled"
RCF,"50DayMA_scaled, Volume_scaled, Market-Cap-Sales_scaled, EBITDA_scaled, 100DayMA_scaled"
RECLTD,"EBITDA_scaled, Sales_scaled, 100DayMA_scaled, 50DayMA_scaled, PriceToBookValue_scaled, BookValue_scaled, Market-Cap-Sales_scaled, Volume_scaled, CBOE_scaled"
REDINGTON,"EBITDA_scaled, Sales_scaled, 100DayMA_scaled, PriceToBookValue_scaled, 50DayMA_scaled, CrudeOil_scaled"
RELIANCE,"50DayMA_scaled, Market-Cap-Sales_scaled, CrudeOil_scaled"
RENUKA,"GPM_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled, CrudeOil_scaled, 50DayMA_scaled, OPM_scaled"
RHIM,"EBITDA_scaled, BookValue_scaled, CrudeOil_scaled, 100DayMA_scaled"
RITES,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled"
RKFORGE,"CrudeOil_scaled, 50DayMA_scaled"
ROUTE,"GPM_scaled, Market-Cap-Sales_scaled, CrudeOil_scaled, OPM_scaled, EBITDA_scaled, GDP_scaled, PriceToBookValue_scaled"
RRKABEL,"EBITDA_scaled, Sales_scaled, CBOE_scaled"
RTNINDIA,"Market-Cap-Sales_scaled, Volume_scaled, Sales_scaled"
RVNL,"Volume_scaled, OPM_scaled, 100DayMA_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled, NPM_scaled"
SAIL,"100DayMA_scaled, Volume_scaled, 50DayMA_scaled, Sales_scaled, CrudeOil_scaled, EBITDA_scaled"
SAMMAANCAP,"50DayMA_scaled, Sales_scaled, PriceToBookValue_scaled, EBITDA_scaled"
SANOFI,"Volume_scaled, Market-Cap-Sales_scaled, EBITDA_scaled, Sales_scaled, 50DayMA_scaled, BookValue_scaled"
SAPPHIRE,100DayMA_scaled
SAREGAMA,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, 100DayMA_scaled, CrudeOil_scaled"
SBFC,"Volume_scaled, PriceToBookValue_scaled"
SBICARD,"GDP_scaled, Volume_scaled, Market-Cap-Sales_scaled, Dollar-INR_scaled, UnemploymentRate_scaled, 100DayMA_scaled, 50DayMA_scaled"
SBILIFE,Market-Cap-Sales_scaled
SBIN,"BookValue_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled"
SCHNEIDER,"Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled, NPM_scaled"
SCI,"100DayMA_scaled, 50DayMA_scaled, EBITDA_scaled, Volume_scaled, Sales_scaled"
SHREECEM,"UnemploymentRate_scaled, PriceToBookValue_scaled, inflation-yearly_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled"
SHRIRAMFIN,100DayMA_scaled
SHYAMMETL,"PriceToBookValue_scaled, BookValue_scaled, Volume_scaled, CrudeOil_scaled"
SIEMENS,"100DayMA_scaled, 50DayMA_scaled, BookValue_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, EBITDA_scaled, Sales_scaled, NPM_scaled"
SIGNATURE,GPM_scaled
SJVN,"Volume_scaled, 100DayMA_scaled, GPM_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled"
SKFINDIA,"EBITDA_scaled, NPM_scaled, Sales_scaled, Volume_scaled, Dollar-INR_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled"
SOBHA,"100DayMA_scaled, 50DayMA_scaled, UnemploymentRate_scaled, BookValue_scaled"
SOLARINDS,"Volume_scaled, BookValue_scaled, OPM_scaled, PriceToBookValue_scaled, 50DayMA_scaled, 100DayMA_scaled, NPM_scaled, Sales_scaled"
SONACOMS,"Market-Cap-Sales_scaled, PriceToBookValue_scaled, Sales_scaled, EBITDA_scaled, 50DayMA_scaled, 100DayMA_scaled"
SONATSOFTW,"50DayMA_scaled, 100DayMA_scaled, CrudeOil_scaled, Market-Cap-Sales_scaled"
SPARC,"Sales_scaled, UnemploymentRate_scaled, IndianBondYieldRate_scaled, EBITDA_scaled, GPM_scaled, OPM_scaled, NPM_scaled, 100DayMA_scaled"
SRF,"Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled, PriceToBookValue_scaled"
STARHEALTH,"100DayMA_scaled, 50DayMA_scaled"
SUMICHEM,"PriceToBookValue_scaled, EBITDA_scaled, Market-Cap-Sales_scaled, GDP_scaled, UnemploymentRate_scaled"
SUNDARMFIN,"Volume_scaled, PriceToBookValue_scaled"
SUNDRMFAST,"Market-Cap-Sales_scaled, PriceToBookValue_scaled, Dollar-INR_scaled, 50DayMA_scaled"
SUNPHARMA,Sales_scaled
SUNTV,50DayMA_scaled
SUPREMEIND,"100DayMA_scaled, 50DayMA_scaled, Volume_scaled, Market-Cap-Sales_scaled"
SUVENPHAR,"Market-Cap-Sales_scaled, 100DayMA_scaled"
SUZLON,"inflation-Monthly_scaled, PriceToBookValue_scaled, 100DayMA_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled, Sales_scaled"
SWANENERGY,"Volume_scaled, 100DayMA_scaled, OPM_scaled, BookValue_scaled, 50DayMA_scaled, EBITDA_scaled"
SWSOLAR,"Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled"
SYNGENE,"EBITDA_scaled, IndianBondYieldRate_scaled, NPM_scaled"
SYRMA,"EBITDA_scaled, Sales_scaled, Volume_scaled"
TANLA,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled, Sales_scaled"
TATACHEM,"inflation-Monthly_scaled, Market-Cap-Sales_scaled, CrudeOil_scaled, PriceToBookValue_scaled"
TATACOMM,"Market-Cap-Sales_scaled, Sales_scaled, Volume_scaled, 50DayMA_scaled"
TATACONSUM,"EBITDA_scaled, 50DayMA_scaled, Sales_scaled, 100DayMA_scaled"
TATAELXSI,"CrudeOil_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled"
TATAINVEST,"Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled, BookValue_scaled, Volume_scaled"
TATAMOTORS,"BookValue_scaled, CBOE_scaled, 50DayMA_scaled, 100DayMA_scaled, CrudeOil_scaled"
TATAPOWER,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, Sales_scaled, Volume_scaled, 50DayMA_scaled, CrudeOil_scaled, 100DayMA_scaled, NPM_scaled"
TATASTEEL,"Sales_scaled, CrudeOil_scaled, EBITDA_scaled"
TATATECH,"100DayMA_scaled, OPM_scaled, BookValue_scaled, CrudeOil_scaled, EBITDA_scaled, Sales_scaled, 50DayMA_scaled"
TCS,NPM_scaled
TECHM,"CrudeOil_scaled, EBITDA_scaled, inflation-Monthly_scaled"
TECHNOE,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, Volume_scaled, EBITDA_scaled, 50DayMA_scaled"
TEJASNET,"EBITDA_scaled, Sales_scaled, PriceToBookValue_scaled"
THERMAX,"Volume_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, PriceToBookValue_scaled, 100DayMA_scaled, BookValue_scaled, OPM_scaled, inflation-Monthly_scaled"
TIINDIA,"50DayMA_scaled, 100DayMA_scaled, Market-Cap-Sales_scaled, Volume_scaled, Sales_scaled"
TIMKEN,"Market-Cap-Sales_scaled, OPM_scaled, 50DayMA_scaled, 100DayMA_scaled"
TITAGARH,"BookValue_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled, CrudeOil_scaled"
TITAN,"Sales_scaled, 100DayMA_scaled"
TORNTPHARM,"CrudeOil_scaled, EBITDA_scaled, Sales_scaled"
TORNTPOWER,"EBITDA_scaled, Sales_scaled, PriceToBookValue_scaled, Volume_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled"
TRENT,"PriceToBookValue_scaled, EBITDA_scaled, Sales_scaled, 100DayMA_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, BookValue_scaled, CBOE_scaled"
TRIDENT,"Market-Cap-Sales_scaled, PriceToBookValue_scaled"
TRITURBINE,"EBITDA_scaled, Sales_scaled, 100DayMA_scaled, 50DayMA_scaled, Volume_scaled, BookValue_scaled"
TRIVENI,"CrudeOil_scaled, 100DayMA_scaled, PriceToBookValue_scaled"
TTML,"100DayMA_scaled, 50DayMA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, CrudeOil_scaled, Volume_scaled"
TVSMOTOR,"PriceToBookValue_scaled, Sales_scaled, EBITDA_scaled, 100DayMA_scaled, Market-Cap-Sales_scaled, inflation-Monthly_scaled"
TVSSCS,"EBITDA_scaled, 100DayMA_scaled, 50DayMA_scaled, IndianBondYieldRate_scaled"
UBL,"PriceToBookValue_scaled, Sales_scaled, CrudeOil_scaled"
UCOBANK,"Volume_scaled, BookValue_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, Sales_scaled, 50DayMA_scaled, EBITDA_scaled, 100DayMA_scaled"
UJJIVANSFB,"100DayMA_scaled, 50DayMA_scaled, CrudeOil_scaled, GDP_scaled, Volume_scaled"
ULTRACEMCO,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled"
UNIONBANK,"Volume_scaled, NPM_scaled, PriceToBookValue_scaled, BookValue_scaled, OPM_scaled"
UNOMINDA,"CrudeOil_scaled, EBITDA_scaled, Sales_scaled"
UPL,"Market-Cap-Sales_scaled, PriceToBookValue_scaled, EBITDA_scaled, GPM_scaled, Sales_scaled, CrudeOil_scaled"
USHAMART,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, CrudeOil_scaled"
UTIAMC,"EBITDA_scaled, Sales_scaled, inflation-Monthly_scaled"
VARROC,"Volume_scaled, EBITDA_scaled"
VBL,100DayMA_scaled
VEDL,"CrudeOil_scaled, 100DayMA_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled"
VGUARD,"100DayMA_scaled, inflation-Monthly_scaled, CrudeOil_scaled, GDP_scaled"
VIJAYA,"100DayMA_scaled, PriceToBookValue_scaled, 50DayMA_scaled, Volume_scaled, BookValue_scaled, GPM_scaled, Market-Cap-Sales_scaled"
VINATIORGA,"inflation-Monthly_scaled, Volume_scaled, GPM_scaled"
VIPIND,"EBITDA_scaled, 50DayMA_scaled"
VOLTAS,"EBITDA_scaled, Sales_scaled, PriceToBookValue_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled, BookValue_scaled"
VTL,"CrudeOil_scaled, 100DayMA_scaled"
WELCORP,"Market-Cap-Sales_scaled, EBITDA_scaled, PriceToBookValue_scaled, 50DayMA_scaled, 100DayMA_scaled"
WELSPUNLIV,"Sales_scaled, 100DayMA_scaled, 50DayMA_scaled, PriceToBookValue_scaled, CBOE_scaled"
WESTLIFE,"Volume_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled, EBITDA_scaled, CrudeOil_scaled"
WHIRLPOOL,"Sales_scaled, Market-Cap-Sales_scaled, OPM_scaled, 50DayMA_scaled, NPM_scaled, PriceToBookValue_scaled"
WIPRO,"inflation-Monthly_scaled, EBITDA_scaled, CrudeOil_scaled"
YESBANK,"Dollar-INR_scaled, 50DayMA_scaled, EBITDA_scaled"
ZEEL,"CrudeOil_scaled, 100DayMA_scaled"
ZFCVINDIA,"PriceToBookValue_scaled, 50DayMA_scaled, inflation-Monthly_scaled, Market-Cap-Sales_scaled, EBITDA_scaled"
ZOMATO,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, EBITDA_scaled, inflation-Monthly_scaled, 50DayMA_scaled, 100DayMA_scaled"
ZYDUSLIFE,"100DayMA_scaled, OPM_scaled, 50DayMA_scaled, EBITDA_scaled, GPM_scaled, Sales_scaled"
