Ticker,GrangerFeatures
BAJAJFINSV,"50DayMA_scaled, OPM_scaled, CrudeOil_scaled, NPM_scaled"
BAJAJHLDNG,"NPM_scaled, OPM_scaled, PriceToBookValue_scaled, Dollar-INR_scaled"
BAJFINANCE,"Market-Cap-Sales_scaled, PriceToBookValue_scaled, Volume_scaled, 50DayMA_scaled, 100DayMA_scaled, UnemploymentRate_scaled"
BALAMINES,"GPM_scaled, 100DayMA_scaled, Dollar-INR_scaled, PriceToBookValue_scaled, 50DayMA_scaled"
BALKRISIND,"50DayMA_scaled, PriceToBookValue_scaled"
BALRAMCHIN,"CrudeOil_scaled, UnemploymentRate_scaled, inflation-yearly_scaled, Market-Cap-Sales_scaled, Volume_scaled"
BANDHANBNK,"Market-Cap-Sales_scaled, 50DayMA_scaled"
BANKBARODA,"NPM_scaled, OPM_scaled"
BANKINDIA,"Sales_scaled, Market-Cap-Sales_scaled, Volume_scaled, PriceToBookValue_scaled, Dollar-INR_scaled"
BASF,"inflation-Monthly_scaled, 100DayMA_scaled, PriceToBookValue_scaled, 50DayMA_scaled, GPM_scaled, Market-Cap-Sales_scaled, CrudeOil_scaled, Volume_scaled"
BATAINDIA,"50DayMA_scaled, PriceToBookValue_scaled, Dollar-INR_scaled, IndianBondYieldRate_scaled, Market-Cap-Sales_scaled, Sales_scaled"
BAYERCROP,"Volume_scaled, CrudeOil_scaled, GDP_scaled"
BBTC,"PriceToBookValue_scaled, 100DayMA_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled"
BDL,"Volume_scaled, 100DayMA_scaled, 50DayMA_scaled"
BEL,"50DayMA_scaled, 100DayMA_scaled, EBITDA_scaled, Volume_scaled, Sales_scaled"
BEML,"100DayMA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled"
BERGEPAINT,CrudeOil_scaled
BHARATFORG,"50DayMA_scaled, 100DayMA_scaled, CrudeOil_scaled"
BHARTIARTL,100DayMA_scaled
BHARTIHEXA,"Volume_scaled, CrudeOil_scaled"
BHEL,"100DayMA_scaled, 50DayMA_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled"
BIKAJI,"PriceToBookValue_scaled, Dollar-INR_scaled"
BIOCON,"GPM_scaled, Dollar-INR_scaled, CBOE_scaled, Market-Cap-Sales_scaled"
BIRLACORPN,"EBITDA_scaled, Dollar-INR_scaled, NPM_scaled, CBOE_scaled"
BLS,"Sales_scaled, EBITDA_scaled"
BLUEDART,"Volume_scaled, EBITDA_scaled, Market-Cap-Sales_scaled, BookValue_scaled"
BLUESTARCO,"Market-Cap-Sales_scaled, PriceToBookValue_scaled, 100DayMA_scaled"
BOSCHLTD,"50DayMA_scaled, PriceToBookValue_scaled, 100DayMA_scaled, Sales_scaled, Market-Cap-Sales_scaled, GPM_scaled, EBITDA_scaled"
BPCL,100DayMA_scaled
BRIGADE,"EBITDA_scaled, Sales_scaled, Market-Cap-Sales_scaled, BookValue_scaled, PriceToBookValue_scaled, Volume_scaled, 50DayMA_scaled"
BRITANNIA,EBITDA_scaled
BSE,"Volume_scaled, PriceToBookValue_scaled, 100DayMA_scaled, 50DayMA_scaled, Market-Cap-Sales_scaled, CrudeOil_scaled, Sales_scaled"
BSOFT,"100DayMA_scaled, 50DayMA_scaled, CrudeOil_scaled, OPM_scaled"
CAMPUS,"Market-Cap-Sales_scaled, Volume_scaled, CrudeOil_scaled"
CAMS,"EBITDA_scaled, Sales_scaled, Dollar-INR_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, PriceToBookValue_scaled, BookValue_scaled, Volume_scaled"
CANBK,"EBITDA_scaled, Sales_scaled, Market-Cap-Sales_scaled, PriceToBookValue_scaled, 100DayMA_scaled"
CANFINHOME,"50DayMA_scaled, Dollar-INR_scaled, CBOE_scaled, Volume_scaled"
CAPLIPOINT,"50DayMA_scaled, 100DayMA_scaled, Market-Cap-Sales_scaled, BookValue_scaled, PriceToBookValue_scaled"
CARBORUNIV,"PriceToBookValue_scaled, 50DayMA_scaled, inflation-Monthly_scaled, Market-Cap-Sales_scaled, CrudeOil_scaled"
CASTROLIND,"Volume_scaled, Market-Cap-Sales_scaled"
CCL,"Volume_scaled, NPM_scaled, BookValue_scaled, 100DayMA_scaled, GPM_scaled, EBITDA_scaled"
CDSL,"PriceToBookValue_scaled, Market-Cap-Sales_scaled, 50DayMA_scaled, Sales_scaled, EBITDA_scaled"
CEATLTD,"BookValue_scaled, PriceToBookValue_scaled, Market-Cap-Sales_scaled, Volume_scaled, 50DayMA_scaled, 100DayMA_scaled"
CELLO,"EBITDA_scaled, Sales_scaled, inflation-yearly_scaled, GDP_scaled, UnemploymentRate_scaled, Volume_scaled, NPM_scaled, inflation-Monthly_scaled"
CENTRALBK,"PriceToBookValue_scaled, Volume_scaled, Market-Cap-Sales_scaled"
CENTURYPLY,"100DayMA_scaled, CrudeOil_scaled, Market-Cap-Sales_scaled, Sales_scaled, CBOE_scaled"
CERA,"BookValue_scaled, GPM_scaled, CBOE_scaled, CrudeOil_scaled"
CGCL,"100DayMA_scaled, 50DayMA_scaled"
CGPOWER,"EBITDA_scaled, Sales_scaled, NPM_scaled, Market-Cap-Sales_scaled, 100DayMA_scaled, 50DayMA_scaled"
CHALET,"PriceToBookValue_scaled, BookValue_scaled, Volume_scaled, Market-Cap-Sales_scaled"
CHAMBLFERT,"PriceToBookValue_scaled, 50DayMA_scaled, 100DayMA_scaled, EBITDA_scaled, BookValue_scaled, Volume_scaled, Sales_scaled"
CHEMPLASTS,"Market-Cap-Sales_scaled, 100DayMA_scaled, EBITDA_scaled, GPM_scaled"
CHENNPETRO,"EBITDA_scaled, BookValue_scaled, Volume_scaled, 100DayMA_scaled, Sales_scaled"
CHOLAHLDNG,"Volume_scaled, 50DayMA_scaled, PriceToBookValue_scaled"
CIEINDIA,"EBITDA_scaled, Sales_scaled"
CLEAN,"inflation-yearly_scaled, GDP_scaled, Market-Cap-Sales_scaled, UnemploymentRate_scaled, PriceToBookValue_scaled, Volume_scaled, Dollar-INR_scaled"
COALINDIA,"CrudeOil_scaled, EBITDA_scaled, BookValue_scaled, OPM_scaled, 100DayMA_scaled"
