Ticker,Factor,p-value
ITC,NPM_stationary,0.0399
ITI,Volume_stationary,0.0
ITI,Market-Cap-Sales_stationary,0.0
ITI,50DayMA_stationary,0.0
ITI,EBITDA_stationary,0.0008
ITI,100DayMA_stationary,0.0013
ITI,PriceToBookValue_stationary,0.0407
J&KBANK,100DayMA_stationary,0.0009
J&KBANK,Sales_stationary,0.0014
J&KBANK,EBITDA_stationary,0.0218
J&KBANK,50DayMA_stationary,0.0254
J&KBANK,Volume_stationary,0.0374
JBCHEPHARM,100DayMA_stationary,0.0
JBCHEPHARM,50DayMA_stationary,0.0
JBCHEPHARM,Market-Cap-Sales_stationary,0.0001
JBCHEPHARM,Volume_stationary,0.0006
JBCHEPHARM,PriceToBookValue_stationary,0.0049
JBMA,PriceToBookValue_stationary,0.0
JBMA,Market-Cap-Sales_stationary,0.0
JBMA,50DayMA_stationary,0.0
JBMA,100DayMA_stationary,0.0074
JBMA,CBOE_stationary,0.0118
JBMA,EBITDA_stationary,0.0122
JBMA,Volume_stationary,0.0232
JINDALSAW,BookValue_stationary,0.0
JINDALSAW,PriceToBookValue_stationary,0.0
JINDALSAW,100DayMA_stationary,0.0
JINDALSAW,CrudeOil_stationary,0.0013
JINDALSAW,50DayMA_stationary,0.0091
JINDALSTEL,CrudeOil_stationary,0.0001
JINDALSTEL,EBITDA_stationary,0.0173
JINDALSTEL,Sales_stationary,0.0246
JIOFIN,50DayMA_stationary,0.0326
JIOFIN,CBOE_stationary,0.0345
JIOFIN,100DayMA_stationary,0.0422
JKCEMENT,EBITDA_stationary,0.0002
JKCEMENT,Market-Cap-Sales_stationary,0.0004
JKCEMENT,PriceToBookValue_stationary,0.0288
JKCEMENT,50DayMA_stationary,0.0467
JKCEMENT,100DayMA_stationary,0.0473
JKLAKSHMI,EBITDA_stationary,0.0
JKLAKSHMI,PriceToBookValue_stationary,0.0
JKLAKSHMI,Market-Cap-Sales_stationary,0.0016
JKLAKSHMI,50DayMA_stationary,0.0109
JKTYRE,Volume_stationary,0.0036
JKTYRE,CBOE_stationary,0.0214
JKTYRE,BookValue_stationary,0.0407
JMFINANCIL,CrudeOil_stationary,0.0101
JMFINANCIL,Volume_stationary,0.0175
JPPOWER,Volume_stationary,0.0
JPPOWER,inflation-Monthly_stationary,0.0043
JPPOWER,Sales_stationary,0.0142
JPPOWER,EBITDA_stationary,0.018
JPPOWER,PriceToBookValue_stationary,0.0378
JSL,Volume_stationary,0.0
JSL,PriceToBookValue_stationary,0.0
JSL,Market-Cap-Sales_stationary,0.0001
JSL,50DayMA_stationary,0.0013
JSL,100DayMA_stationary,0.0169
JSL,CrudeOil_stationary,0.0195
JSWENERGY,Volume_stationary,0.0
JSWENERGY,PriceToBookValue_stationary,0.0
JSWENERGY,Market-Cap-Sales_stationary,0.0
JSWENERGY,50DayMA_stationary,0.0001
JSWENERGY,BookValue_stationary,0.0007
JSWENERGY,CrudeOil_stationary,0.0029
JSWENERGY,100DayMA_stationary,0.0148
JSWENERGY,EBITDA_stationary,0.0174
JSWINFRA,50DayMA_stationary,0.0487
JSWSTEEL,CrudeOil_stationary,0.0001
JSWSTEEL,Sales_stationary,0.0001
JSWSTEEL,EBITDA_stationary,0.004
JSWSTEEL,PriceToBookValue_stationary,0.0053
JSWSTEEL,Market-Cap-Sales_stationary,0.0085
JSWSTEEL,50DayMA_stationary,0.0099
JSWSTEEL,Volume_stationary,0.0321
JUBLFOOD,IndianBondYieldRate_stationary,0.0058
JUBLFOOD,CrudeOil_stationary,0.0138
JUBLINGREA,PriceToBookValue_stationary,0.0094
JUBLPHARMA,EBITDA_stationary,0.0026
JUBLPHARMA,inflation-Monthly_stationary,0.0092
JUSTDIAL,EBITDA_stationary,0.0009
JUSTDIAL,Dollar-INR_stationary,0.0043
JUSTDIAL,Sales_stationary,0.0093
JUSTDIAL,GDP_stationary,0.0144
JUSTDIAL,PriceToBookValue_stationary,0.029
JWL,Market-Cap-Sales_stationary,0.0
JWL,100DayMA_stationary,0.0
JWL,50DayMA_stationary,0.0
JWL,Volume_stationary,0.0002
JWL,PriceToBookValue_stationary,0.0127
JWL,CrudeOil_stationary,0.0201
JYOTHYLAB,EBITDA_stationary,0.0
JYOTHYLAB,Market-Cap-Sales_stationary,0.0003
JYOTHYLAB,Sales_stationary,0.0018
JYOTHYLAB,PriceToBookValue_stationary,0.004
JYOTICNC,PriceToBookValue_stationary,0.0086
JYOTICNC,Market-Cap-Sales_stationary,0.0243
KAJARIACER,PriceToBookValue_stationary,0.0001
KAJARIACER,Market-Cap-Sales_stationary,0.0016
KAJARIACER,Dollar-INR_stationary,0.0254
KALYANKJIL,Sales_stationary,0.0077
KALYANKJIL,BookValue_stationary,0.0089
KALYANKJIL,Volume_stationary,0.0161
KALYANKJIL,50DayMA_stationary,0.0418
KALYANKJIL,inflation-Monthly_stationary,0.0479
KANSAINER,NPM_stationary,0.0
KANSAINER,OPM_stationary,0.0
KANSAINER,Sales_stationary,0.0021
KANSAINER,Dollar-INR_stationary,0.0093
KANSAINER,GPM_stationary,0.028
KANSAINER,inflation-Monthly_stationary,0.0294
KAYNES,Market-Cap-Sales_stationary,0.0
KAYNES,PriceToBookValue_stationary,0.0023
KAYNES,50DayMA_stationary,0.0039
KAYNES,Volume_stationary,0.0094
KAYNES,Sales_stationary,0.0218
KAYNES,EBITDA_stationary,0.0398
KEC,Volume_stationary,0.007
KEC,BookValue_stationary,0.0131
KEI,BookValue_stationary,0.0027
KEI,100DayMA_stationary,0.0064
KEI,PriceToBookValue_stationary,0.02
KEI,50DayMA_stationary,0.0207
KFINTECH,BookValue_stationary,0.0
KFINTECH,PriceToBookValue_stationary,0.0007
KFINTECH,Market-Cap-Sales_stationary,0.0268
KFINTECH,100DayMA_stationary,0.0304
KIMS,50DayMA_stationary,0.0
KIMS,100DayMA_stationary,0.0001
KIMS,Volume_stationary,0.0043
KIRLOSBROS,100DayMA_stationary,0.0
KIRLOSBROS,50DayMA_stationary,0.0
KIRLOSBROS,PriceToBookValue_stationary,0.0001
KIRLOSBROS,BookValue_stationary,0.0002
KIRLOSBROS,EBITDA_stationary,0.0007
KIRLOSBROS,Market-Cap-Sales_stationary,0.0048
KIRLOSBROS,inflation-Monthly_stationary,0.0247
KIRLOSBROS,NPM_stationary,0.0419
KIRLOSENG,100DayMA_stationary,0.0
KIRLOSENG,50DayMA_stationary,0.0
KIRLOSENG,BookValue_stationary,0.0001
KIRLOSENG,Market-Cap-Sales_stationary,0.0004
KIRLOSENG,PriceToBookValue_stationary,0.0005
KIRLOSENG,EBITDA_stationary,0.0019
KIRLOSENG,NPM_stationary,0.0055
KIRLOSENG,CBOE_stationary,0.0317
KNRCON,Volume_stationary,0.0009
KNRCON,Sales_stationary,0.0044
KNRCON,EBITDA_stationary,0.0064
KOTAKBANK,PriceToBookValue_stationary,0.0129
KOTAKBANK,Dollar-INR_stationary,0.0307
KPIL,100DayMA_stationary,0.0
KPIL,Sales_stationary,0.0016
KPIL,50DayMA_stationary,0.0018
KPIL,PriceToBookValue_stationary,0.0076
KPIL,Market-Cap-Sales_stationary,0.0104
KPITTECH,100DayMA_stationary,0.0
KPITTECH,50DayMA_stationary,0.0
KPITTECH,BookValue_stationary,0.0032
KPITTECH,EBITDA_stationary,0.0085
KPRMILL,100DayMA_stationary,0.0018
KPRMILL,50DayMA_stationary,0.0143
KSB,100DayMA_stationary,0.0049
LALPATHLAB,EBITDA_stationary,0.0001
LALPATHLAB,Market-Cap-Sales_stationary,0.0002
LALPATHLAB,Sales_stationary,0.0004
LALPATHLAB,OPM_stationary,0.0027
LALPATHLAB,NPM_stationary,0.0044
LALPATHLAB,50DayMA_stationary,0.0103
LALPATHLAB,PriceToBookValue_stationary,0.0144
LALPATHLAB,100DayMA_stationary,0.0192
LATENTVIEW,EBITDA_stationary,0.002
LATENTVIEW,Sales_stationary,0.005
LATENTVIEW,50DayMA_stationary,0.0079
LATENTVIEW,CBOE_stationary,0.0161
LATENTVIEW,CrudeOil_stationary,0.017
LATENTVIEW,inflation-Monthly_stationary,0.038
LAURUSLABS,Market-Cap-Sales_stationary,0.0
LAURUSLABS,PriceToBookValue_stationary,0.0001
LAURUSLABS,50DayMA_stationary,0.005
LAURUSLABS,100DayMA_stationary,0.0116
LEMONTREE,50DayMA_stationary,0.0004
LEMONTREE,Market-Cap-Sales_stationary,0.0014
LEMONTREE,CrudeOil_stationary,0.0036
LEMONTREE,100DayMA_stationary,0.0136
